Points_0,Points_1,Points_2,Points_Magnitude,STLSolidLabeling,Point ID
0.000997335,0.0540884,-0.00615283,0.0544464,0,256
0.0020189,0.0526602,-0.00589713,0.0530278,0,257
0.00140051,0.0513247,-0.00607376,0.0517018,0,258
0.00350696,0.0525676,-0.00515299,0.0529359,0,259
0.00613619,0.00531882,-0.00132222,0.00822745,0,260
0.00572284,0.00563765,-0.00257881,0.00843707,0,261
0.00531769,0.00656882,-0.00333516,0.00908573,0,262
0.0055089,0.0050253,-0.00300883,0.00804082,0,263
-0.00222303,0.00614376,-0.00591961,0.00881643,0,264
-0.0029648,0.00614506,-0.00558512,0.00881733,0,265
-0.00339063,0.00679459,-0.00533734,0.00928171,0,266
-0.00324757,0.00549683,-0.00542558,0.00837847,0,267
0.00100175,0.189809,-0.00621676,0.189913,0,268
-1.92603e-05,0.190801,-0.00629693,0.190905,0,269
-7.81093e-05,0.191828,-0.00629647,0.191931,0,270
-0.000983123,0.190766,-0.00621974,0.190869,0,271
0.0012459,0.00193543,-0.00621832,0.00663066,0,272
0.00168605,0.00217533,-0.00611368,0.00670462,0,273
0.00189642,0.00195461,-0.00605173,0.00663629,0,274
0.00191022,0.00263595,-0.00604739,0.0068679,0,275
-0.00347841,0.00423892,-0.00530561,0.00763003,0,276
-0.00342431,0.00362924,-0.00534069,0.00730892,0,277
-0.00366907,0.00335969,-0.0051756,0.00717888,0,278
-0.00311627,0.00328911,-0.0055261,0.00714612,0,279
-0.00598326,0.00682263,0.00207999,0.00930989,0,280
-0.0058565,0.00634548,0.00241397,0.0089661,0,281
-0.00559088,0.006391,0.00297789,0.00899837,0,282
-0.00595329,0.00582281,0.00216429,0.00860412,0,283
0.00430757,0.118832,-0.00453904,0.118997,0,284
0.00374589,0.120164,-0.00501262,0.120327,0,285
0.00434833,0.121239,-0.0045,0.1214,0,286
0.00244468,0.120422,-0.00576034,0.120585,0,287
0.000106853,0.13533,-0.00625753,0.135474,0,288
-0.00137022,0.135441,-0.0061066,0.135585,0,289
-0.00223949,0.136882,-0.00584404,0.137025,0,290
-0.00194854,0.134111,-0.00594737,0.134257,0,291
0.00447364,0.198395,0.00448456,0.198497,0,292
0.00461239,0.197912,0.00434172,0.198014,0,293
0.00501146,0.197918,0.00387426,0.198019,0,294
0.00431678,0.197424,0.00463574,0.197525,0,295
0.00535713,0.108479,-0.00326916,0.10866,0,296
0.00569882,0.1098,-0.00262864,0.109979,0,297
0.00612904,0.1099,-0.00134951,0.110079,0,298
0.00540072,0.111021,-0.00319664,0.111198,0,299
-0.00552177,0.002435,0.00311339,0.00679061,0,300
-0.00576098,0.00239528,0.00264467,0.00677647,0,301
-0.00587467,0.00196675,0.00238147,0.00663711,0,302
-0.00585717,0.00278409,0.0024242,0.00692346,0,303
-0.00187093,0.19412,0.00604012,0.194223,0,304
-0.00262842,0.194252,0.00575107,0.194355,0,305
-0.00308522,0.193444,0.00551949,0.193548,0,306
-0.00290014,0.195191,0.00561895,0.195294,0,307
0.00263563,0.180739,0.0056915,0.180848,0,308
0.00381856,0.180237,0.00497577,0.180346,0,309
0.00434566,0.181368,0.00452272,0.181477,0,310
0.00435422,0.178602,0.00451448,0.178712,0,311
0.00105314,0.0568029,-0.00614671,0.0571442,0,312
0.002124,0.0580892,-0.00586343,0.058423,0,313
0.00356938,0.0582034,-0.00511377,0.0585365,0,314
0.00160009,0.0592614,-0.00602751,0.0595886,0,315
-0.00544137,0.174519,-0.00315386,0.174632,0,316
-0.00501007,0.175693,-0.00380191,0.175806,0,317
-0.00418885,0.17559,-0.00469136,0.175703,0,318
-0.00526582,0.176969,-0.00343897,0.177081,0,319
0.00533924,0.193532,-0.00330541,0.193634,0,320
0.0057545,0.194564,-0.00251374,0.194666,0,321
0.00614631,0.194782,-0.00128691,0.194883,0,322
0.00557947,0.195379,-0.00288145,0.195479,0,323
0.00423178,0.0839148,-0.00458866,0.0841466,0,324
0.00359046,0.0853068,-0.00510611,0.0855349,0,325
0.00423206,0.0864034,-0.00458841,0.0866286,0,326
0.00215848,0.0856023,-0.00585702,0.0858296,0,327
-0.000754048,0.0083403,-0.00626527,0.0104586,0,328
-0.000324093,0.00763723,-0.00630216,0.00990704,0,329
-0.000887064,0.00688984,-0.00624783,0.00934303,0,330
0.000665848,0.00768154,-0.00627526,0.00994124,0,331
0.000842689,0.198128,-0.00628342,0.198229,0,332
0.00104836,0.197846,-0.00625239,0.197948,0,333
0.00075034,0.19734,-0.00629511,0.197442,0,334
0.00154576,0.198071,-0.00614834,0.198172,0,335
0.00134866,0.197205,0.00619153,0.197307,0,336
0.00188499,0.197195,0.00604985,0.197297,0,337
0.00201132,0.197649,0.00600904,0.19775,0,338
0.00228427,0.196731,0.00591067,0.196833,0,339
0.000578329,0.00276329,-0.00630923,0.00691206,0,340
0.00102823,0.00257967,-0.00625169,0.00684073,0,341
0.000913253,0.0021376,-0.00626952,0.00668657,0,342
0.00158505,0.00283812,-0.00613421,0.00694232,0,343
0.00524876,0.123701,-0.00341248,0.123859,0,344
0.00557179,0.125088,-0.00285476,0.125245,0,345
0.00608471,0.125044,-0.00147336,0.125201,0,346
0.00513249,0.12652,-0.00358498,0.126675,0,347
0.00271664,0.00197386,0.00573029,0.00664173,0,348
0.00309155,0.00232869,0.00553703,0.00675568,0,349
0.00313653,0.00285455,0.00551167,0.00695448,0,350
0.00340951,0.00215764,0.00534711,0.00669864,0,351
0.00538663,0.0211329,0.00322084,0.0220451,0,352
0.00570039,0.0202752,0.00262585,0.0212243,0,353
0.00612964,0.0201376,0.00134801,0.0210929,0,354
0.00537602,0.0195551,0.00323852,0.0205375,0,355
-0.00419877,0.0242666,-0.00467448,0.0250668,0,356
-0.00502493,0.0240883,-0.00377233,0.0248943,0,357
-0.005539,0.0250943,-0.00296646,0.025869,0,358
-0.00518608,0.022904,-0.00354753,0.0237503,0,359
0.00150586,0.177727,0.00607144,0.177837,0,360
0.00240676,0.178416,0.00577386,0.178525,0,361
0.00186254,0.179829,0.00597168,0.179938,0,362
0.00371551,0.177692,0.00503239,0.177802,0,363
-0.0059853,0.195055,-0.00209463,0.195158,0,364
-0.00582934,0.194577,-0.00249601,0.19468,0,365
-0.00580954,0.193749,-0.00254175,0.193852,0,366
-0.00566892,0.194928,-0.00284158,0.195031,0,367
-0.00512783,0.198237,-0.00373372,0.198338,0,368
-0.00487968,0.198008,-0.00405266,0.19811,0,369
-0.00480665,0.1974,-0.00413901,0.197502,0,370
-0.00468841,0.198388,-0.00427249,0.198489,0,371
-0.0014418,0.194658,0.00616148,0.19476,0,372
-0.00179806,0.195328,0.00606709,0.19543,0,373
-0.00249891,0.195729,0.00581361,0.195832,0,374
-0.00143098,0.195596,0.006164,0.195698,0,375
0.00465844,0.0211384,0.00423637,0.0220563,0,376
0.00424067,0.0202863,0.00465452,0.021241,0,377
0.00464449,0.0195606,0.00425166,0.0205491,0,378
0.00332298,0.0201598,0.00534843,0.0211202,0,379
-0.00630016,0.193827,-0.000479286,0.19393,0,380
-0.00617942,0.194027,-0.00131777,0.19413,0,381
-0.00600691,0.193474,-0.00195927,0.193577,0,382
-0.006138,0.19478,-0.00149887,0.194882,0,383
-0.00509207,0.198801,0.00377962,0.198902,0,384
-0.00486833,0.199011,0.00406375,0.199112,0,385
-0.00491351,0.199505,0.004009,0.199606,0,386
-0.00458015,0.198726,0.00438599,0.198828,0,387
0.00216067,0.0998424,-0.00587388,0.100038,0,388
0.00256287,0.101276,-0.00570987,0.101469,0,389
0.00381115,0.101888,-0.00496448,0.10208,0,390
0.00158363,0.102098,-0.006055,0.10229,0,391
0.00602314,0.197381,0.00188721,0.197482,0,392
0.00605711,0.196478,0.00177516,0.196579,0,393
