Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-0.00449537,0.00600704,-0.00448488,0.00874111,460
0.00596951,0.00875,-0.00216506,0.0108113,461
0.00602458,0.0109745,-0.00200672,0.0126792,462
-0.00635,0.191122,-5.18627e-06,0.191228,463
-0.00620978,0.192021,-0.00132708,0.192126,464
-0.00634736,0.192375,0.000182969,0.19248,465
0.00366213,0.022908,0.00518761,0.0237718,466
0.005075,0.0238557,0.00381666,0.0246863,467
0.00366234,0.0247731,0.00518746,0.025574,468
0.00189752,0.0238255,0.00605986,0.0246572,469
0.00507515,0.0257207,0.00381646,0.026493,470
0.0031898,0.12925,-0.00549069,0.129406,471
0.00388293,0.12638,-0.00502448,0.12654,472
0.00487362,0.0675,-0.00407066,0.067798,473
0.00486494,0.0699935,-0.00408103,0.070281,474
0.00307282,0.0679725,-0.005557,0.0682685,475
-0.00504227,0.136966,0.00385979,0.137113,476
-0.00324684,0.135203,0.00545715,0.135352,477
-0.0033763,0.137661,0.00537802,0.137807,478
-0.00150302,0.00507747,-0.00616956,0.00813039,479
-0.00387907,0.0103554,-0.00502746,0.0121473,480
-0.00384494,0.00889976,-0.00505361,0.0109329,481
-0.00260337,0.00969939,-0.0057918,0.0115931,482
0.00635,0.0075,3.88825e-19,0.00982713,483
0.00596951,0.19125,-0.00216506,0.191355,484
0.0060218,0.189011,-0.00201506,0.189118,485
-0.000954306,0.157293,0.00627788,0.157421,486
-0.00335343,0.156797,0.00539231,0.156926,487
-0.00299775,0.159002,0.00559786,0.159128,488
-0.00500294,0.128496,0.00391064,0.128653,489
-0.00586233,0.130018,0.00244042,0.130173,490
-0.00413951,0.13062,0.00481529,0.130775,491
0.00635,0.17,3.88825e-19,0.170119,492
0.00635,0.1725,3.88825e-19,0.172617,493
0.00584788,0.170976,-0.00247482,0.171094,494
-0.00532342,0.196913,-0.00346175,0.197015,495
-0.00558771,0.19775,-0.00301662,0.197851,496
-0.00578654,0.197034,-0.00261504,0.197136,497
-0.00530243,0.193734,-0.00349381,0.193839,498
-0.0051128,0.194913,-0.00376587,0.195017,499
-0.00466799,0.194548,-0.00430492,0.194652,500
0.00487362,0.0475,-0.00407066,0.0479226,501
0.00304619,0.0487445,-0.00557165,0.0491564,502
0.00318039,0.0462821,-0.00549614,0.0467157,503
0.000948792,0.0475267,-0.00627872,0.047949,504
-0.0046819,0.00347693,0.0042898,0.00723958,505
-0.00384938,0.00386956,0.00505023,0.00743613,506
-0.00406495,0.00289364,0.00487839,0.00697823,507
-0.00601673,0.00643458,-0.00203015,0.00904026,508
-0.00595213,0.00510731,-0.0022124,0.00814905,509
-0.00626326,0.00593171,-0.00104599,0.00868952,510
-0.0062922,0.00725898,-0.000854808,0.00964444,511
-0.00622851,0.00460444,-0.0012362,0.00784368,512
0.00330474,0.181857,-0.00542228,0.181968,513
0.00491422,0.180104,-0.00402156,0.180216,514
-0.00407692,0.195146,0.00486839,0.195249,515
-0.00393342,0.196447,0.00498505,0.196549,516
-0.00473341,0.195462,0.00423289,0.195565,517
-0.00294434,0.00435895,0.00562613,0.00770214,518
-0.00318577,0.00338302,0.00549303,0.00719495,519
-0.00221567,0.00387241,0.00595091,0.00743761,520
-0.00208782,0.0372864,0.00599696,0.0378232,521
-0.000247437,0.0387028,0.00634518,0.0392203,522
-0.000126519,0.0364733,0.00634874,0.0370219,523
0.00173117,0.0378897,0.00610946,0.0384182,524
0.00161447,0.0401193,0.00614133,0.0406188,525
0.00184724,0.0356602,0.00607538,0.0362211,526
-0.00130591,0.187853,0.00621427,0.187961,527
-0.00126274,0.18936,0.00622318,0.189467,528
0.00040157,0.188305,0.00633729,0.188412,529
0.000445544,0.189812,0.00633435,0.189919,530
-0.00121952,0.190868,0.00623179,0.190973,531
0.00207986,0.188757,0.00599972,0.188864,532
-0.00340994,0.00264372,0.00535675,0.00687835,533
-0.00245958,0.0031331,0.00585431,0.00708088,534
-0.00269929,0.0023938,0.00574773,0.00678622,535
0.00635,0.0125,3.88825e-19,0.0140204,536
0.00596951,0.01375,0.00216506,0.0151455,537
0.00574892,0.197481,-0.00269675,0.197583,538
